Id,Name,Description,CityId,Owner,CheckInTime,CheckOutTime,NumOfRatings,SumOfRatings,Address,Latitude,Longitude,CreationDate,ModificationDate,DistanceFromCityCenter
9dfb1d02-cd7f-45aa-a6ac-1c992c3f5058,Grand Central Hotel,A luxurious hotel in the heart of the city,080bf84b-7548-4edf-aea1-3eab4ed3e84d,Alexander Johnson,12:00,11:00,0,0,123 Main Street Cityville,34.0522,-118.2437,12/22/2023 21:31:36 +00:00,,200
d4e36b24-81ad-4360-86e0-6e2d7340af36,Harbor View Resort,Enjoy stunning views of the harbor from your room,8d83c4ae-7f1d-41b0-b849-886a7f440d5a,Sophia Anderson,14:30,11:30,0,0,456 Waterfront Avenue Portside,40.7128,-74.006,12/22/2023 21:31:36 +00:00,,1500
cf91ec9d-92a6-4bf8-8d9e-2bc24c45a4d4,Sunset Beach Resort,Relax on the sandy beaches and watch the sunset,d8183f16-d87c-45d6-baa5-a8250b6a90be,Emma Davis,16:00,10:30,0,0,789 Coastal Road Beachtown,36.7783,-119.4179,12/22/2023 21:31:36 +00:00,,4000
44226e16-6e16-452f-ba80-1a2095f9b582,Skyline Heights Inn,Experience the city lights from the top floor,39efe724-f03c-4800-b9fe-ef0caeeda25c,William Taylor,15:30,12:30,0,0,101 Skyscraper Lane Heightsville,34.0522,-118.2437,12/22/2023 21:31:36 +00:00,,1800
82e9852f-76ea-4c3f-ad54-372f596b4a40,Riverside Retreat Hotel,Enjoy the serene views of the nearby river,01e72307-3b1e-4826-ba23-b38429e76e21,Olivia Martinez,14:00,11:00,0,0,222 Riverside Drive River City,40.7128,-74.006,12/22/2023 21:31:36 +00:00,,3500
8c63080a-d73e-4367-aca6-c3113754ea35,Mountain View Lodge,Surrounded by majestic mountains and scenic views,0e639a18-298d-4424-838e-4a741b335aee,James Brown,16:30,10:30,0,0,456 Mountain Road Summitville,36.7783,-119.4179,12/22/2023 21:31:36 +00:00,,5200
914b111a-f0cd-4d55-8df0-36811337df45,Downtown Boutique Hotel,A chic and trendy hotel in the city center,ff05f830-7028-4da8-9ad5-392ae4754f64,Ava White,15:00,12:00,0,0,789 Fashion Street Trendy Town,34.0522,-118.2437,12/22/2023 21:31:36 +00:00,,100
f60b6b5c-2780-487d-8ca8-7ff86e319069,Lakeside Lodge,A peaceful lodge by the lake with scenic views,1cc8a3ca-c9c2-48f4-a90c-e75e911e9bd3,Mia Robinson,14:30,11:30,0,0,123 Lakeview Lane Lakeside,40.7128,-74.006,12/22/2023 21:31:36 +00:00,,480
763677b5-5c5c-480c-96da-94342f07e546,Plush Palace Hotel,Experience luxury at its finest,22d66ba6-89d9-4bc8-86e8-f7ec92faca85,Emma White,15:30,12:30,0,0,456 Royal Street Royalty City,34.0522,-118.2437,12/22/2023 21:31:36 +00:00,,200
2817f748-049c-4cb0-92d2-80365d793d5a,Sunny Side Resort,Enjoy a bright and sunny retreat,eea2f34b-ee17-4270-8f1d-14d0786901f6,David Smith,14:00,11:00,0,0,789 Sunshine Lane Sunnyville,40.7128,-74.006,12/22/2023 21:31:36 +00:00,,400
